E 74,C0 98,F8 40,FE AD,FF 90,FE 40
E 8C,C0 AC,F8 B8,FE CF,FF 85,FE 2D
E 74,C0 98,F8 B0,FE CE,FF 95,FE 48
E 50,C0 54,F7 6C,FE C4,FF 95,FE 51
E 78,C0 D0,F8 78,FE A2,FF 85,FE 36
E 78,C0 8C,F8 A4,FE B6,FF 8A,FE 2A
E 40,C0 48,F8 10,FE BC,FF 8D,FE 42
E D8,C0 4C,F8 FC,FE C3,FF A6,FE 41
E 98,C0 20,F8 9C,FE A6,FF 8A,FE 38
E BC,C0 FC,F8 BC,FE A1,FF 96,FE 47
E AC,C0 20,F7 2C,FE BD,FF 92,FE 33
E B0,C0 3C,F8 60,FE BA,FF A6,FE 47
E 6C,C0 80,F8 1C,FE B8,FF 9C,FE 49
E 4C,C0 7C,F8 74,FE D2,FF 85,FE 48
E 94,C0 80,F8 AC,FE D2,FF A3,FE 45
E 60,C0 84,F8 D4,FE A1,FF 8F,FE 44
E 90,C0 C8,F8 D8,FE C0,FF B6,FE 36
E 94,C0 6C,F8 98,FE C4,FF 85,FE 45
E 8C,C0 CC,F7 68,FE C0,FF 80,FE 3C
E B8,C0 64,F8 88,FE DC,FF B2,FE 2F
E CC,C0 94,F8 94,FE B6,FF 9D,FE 30
E B8,C0 6C,F8 9C,FE AB,FF 89,FE 39
E 90,C0 78,F8 70,FE B4,FF 92,FE 55
E 8C,C0 A0,F8 90,FE C7,FF 9E,FE 3D
E B4,C0 5C,F8 C,FE D7,FF 8D,FE 34
E 34,C0 40,F8 34,FE B8,FF 96,FE 39
E 90,C0 68,F8 34,FE B5,FF A5,FE 47
E 6C,C0 D4,F8 48,FE AC,FF 96,FE 3E
E 98,C0 70,F8 64,FE D9,FF 98,FE 4D
E 94,C0 80,F8 6C,FE AF,FF 96,FE 39
E 9C,C0 8C,F9 20,FE A9,FF 9B,FE 3F
E 5C,C0 74,F8 7C,FE B7,FF 86,FE 43
E 24,C0 28,F8 8,FE C2,FF 9B,FE 20
E 88,C0 1C,F8 FC,FE C8,FF 9D,FE 47
E 84,C0 54,F8 D0,FE BC,FF 99,FE 49
E 78,C0 30,F8 58,FE C4,FF 92,FE 4A
E 5C,C0 1C,F8 E0,FE B8,FF 9A,FE 49
E 8C,C0 5C,F8 98,FE B3,FF 9D,FE 4E
E 90,C0 70,F8 38,FE A9,FF A1,FE 44
E A0,C0 70,F8 C4,FE CA,FF A7,FE 49
E A8,C0 6C,F8 58,FE B0,FF 9B,FE 46
E 40,C0 44,F8 A4,FE AC,FF A6,FE 53
E 90,C0 74,F8 D0,FE B4,FF 8F,FE 1D
E B4,C0 2C,F8 88,FE CF,FF 92,FE 27
E 88,C0 78,F8 FC,FE BE,FF 8F,FE 5A
E 8,C0 40,F8 7C,FE C8,FF 89,FE 44
E 78,C0 98,F8 5C,FE A7,FF 7B,FE 4F
E 98,C0 6C,F8 B8,FE BC,FF 92,FE 3F
E 90,C0 74,F8 98,FE C3,FF 90,FE 3A
E 8C,C0 A4,F8 EC,FE B4,FF 97,FE 43
E 74,C0 48,F8 B8,FE A4,FF 86,FE 37
E 68,C0 50,F8 E0,FE C3,FF 97,FE 4B
E 90,C0 64,F8 E4,FE CF,FF 8F,FE 33
E 10,C0 44,F8 70,FE B8,FF 9F,FE 49
E 70,C0 8,F7 84,FE B0,FF 89,FE 4E
F 28,C0 78,F8 54,FE A2,FF 8C,FE 36
E 80,C0 48,F9 8,FE B2,FF 74,FE 3B
D F4,C0 BC,F7 30,FE A4,FF 1A,FE 2D
E B8,C0 4C,F8 A4,FE 86,FF 7F,FF EC
E 3C,C0 B8,FB 90,FE 94,FF AE,0 39
D 4,C0 60,FA B0,FF E,FF BC,0 24
10 0,C1 0,F3 CC,FE 52,FF 6F,FF F1
A F8,C0 F8,F7 CC,FE CD,FF BC,FF 12
D 8C,C0 14,F6 20,FE CD,FF 44,FF D7
A F0,C0 C8,F6 4,FE 97,FF 67,0 21
10 0,BF B8,0 6C,FE D1,FF 9A,FF B9
10 4,C0 A0,F5 C,FE C4,FF 70,0 1B
C 98,C0 B8,F3 20,FE 94,FF 4D,FF B8
13 40,C1 40,F9 C0,FE E4,FF 98,FF CD
7 34,BF 58,FC 98,FE 32,FF B4,FF C4
12 FC,C0 A4,FE 40,FE C9,FF 7F,FF ED
4 C,BF 28,EF 80,FE 51,FF 85,0 E3
9 68,BE 84,F8 E0,FE AE,FF 63,1 90
0 60,BE CC,F7 14,FE F4,FE 17,11 C9
F7 60,BB F0,FB A4,FF 9,FF 40,13 7
F6 DC,BA B8,F4 2C,FE AB,FF 21,16 31
F8 94,BB F4,F9 BC,FE F9,FF 1D,17 F5
F9 68,BA 94,F6 3C,FF 23,FF 7,19 C4
FA 94,BA 90,F6 48,FE C8,FE EC,1B 39
FB A4,BA B4,F8 BC,FE D0,FE D9,1C B7
FA C4,B9 AC,F8 9C,FE 5F,FE DA,1E 23
FC 70,BA 38,FA 44,FE 9C,FE D9,1F AC
F8 C8,B9 94,F8 44,FE 83,FE CD,20 15
F9 FC,B9 64,F9 38,FE A9,FE EC,22 8E
F6 B0,B8 88,F8 2C,FE 0,FE 4,24 24
F7 80,B8 94,F7 4,FE F3,FE BF,25 84
F3 30,B7 B4,F6 B0,FE E3,FE CE,27 2F
F3 B4,B6 F8,F7 40,FE F1,FE 9D,28 BF
F1 D8,B6 A0,F6 F0,FE 69,FE 8F,2B 22
F0 70,B5 D8,FA 18,FE 7A,FE A7,2C E5
ED DC,B5 B4,F7 FC,FE 89,FE 90,2E E3
EC 68,B4 E0,F9 AC,FE 92,FE 69,30 A5
ED 38,B4 88,F9 FC,FF 9,FE 9A,32 9D
E9 F8,B3 24,F7 88,FE E9,FE 88,34 43
E9 28,B3 84,F9 4,FE EB,FE 63,35 20
E5 74,B2 28,F7 B0,FE E8,FE 89,38 36
E5 74,B2 9C,F6 F8,FE 84,FE 60,39 E0
E4 10,B1 EC,F7 C4,FE 9B,FE 82,3B E6
E2 30,B1 EC,F7 3C,FE 9D,FE 32,3D 9E
E1 E0,B1 90,F8 90,FE 7D,FE 1B,3F 84
E0 50,B0 44,F9 CC,FF 1D,FE 15,41 49
E0 D8,B1 38,F8 9C,FE FC,FE 1C,43 25
DF 60,B0 C4,F9 C,FF 17,FE 2A,45 58
DD F4,B0 E0,F7 A8,FE DF,FE 37,46 F
DA EC,B0 F0,F8 44,FE 8D,FE 8,48 AE
DA CC,B0 9C,F9 68,FE 83,FD F,4A 58
D6 C0,B1 18,F6 E8,FE 77,FE 6,4B FF
D7 30,B1 98,F8 D8,FE B3,FD E1,4D 5F
D5 CC,B1 CC,F7 B4,FE F1,FD EC,4E F9
D5 68,B2 90,F7 60,FE FC,FD BC,50 33
D4 64,B2 0,F8 40,FF F6,FD C8,51 82
D3 A8,B3 9C,F7 B4,FE AF,FD BF,52 D1
D3 20,B4 9C,F8 68,FE AC,FD C4,53 F1
D2 58,B4 4C,FA C8,FE A7,FD F1,54 FF
D2 7C,B6 5C,F7 F4,FE 74,FD D2,55 EB
D1 8C,B7 CC,F8 F8,FE ED,FD C0,56 F1
D0 24,B8 EC,F9 2C,FF 1F,FD D5,59 FC
CF E8,CC 58,F8 50,FF 21,FD D9,58 AE
CF 5C,CE D0,F4 B8,FF 2F,FD 9F,58 50
CD 5C,CF 40,FB 84,FF 60,FE 18,58 C
CE C4,D3 B0,F3 EC,FF 1E,FD A3,57 9E
CC 24,D6 80,F5 8,FE 16,FD 79,57 3F
CD C4,D8 A0,FC E8,FE B1,FD BB,56 D9
CD 20,DC 88,F4 F8,FE 46,FD 8A,56 60
CC 18,DE 48,FA 98,FE 27,FD 6A,55 1
CB C0,E0 E8,FF 8C,FF 54,FD FF,55 4
CC C0,E3 38,F6 A4,FE E2,FD CC,55 7F
CC 70,E6 20,FD C8,FF 1F,FD FC,55 6F
CB 18,E9 AC,FB 28,FF D4,FE 2E,55 13
CD EC,EB E0,F1 58,FE B7,FD E3,54 7E
CB 48,ED FC,FB 54,FE C0,FD E6,54 49
CC A0,0 C4,F8 1C,FE D1,FD D8,51 DB
D0 10,2 10,FC 70,FF 30,FD F,51 C7
D3 58,4 50,F7 30,FE E3,FD F7,51 55
D4 9C,7 64,F7 94,FE 81,FD ED,51 FA
D3 10,8 1C,FB F0,FE B1,FD D3,50 C8
D5 BC,A 68,F8 8,FE C0,FD E9,50 7B
D6 C4,C BC,F9 3C,FE 75,FD E0,50 3E
D6 8C,D 84,FC 64,FE DD,FD F3,50 35
D9 7C,F B8,FA 5C,FE EF,FE 6,4F DD
DB E0,11 30,FB C4,FE D0,FD ED,4F 85
DB 70,13 30,FD B0,FF 3D,FD E9,4F 5E
DD 38,15 E4,F7 20,FF 20,FD 1,4F 1C
DD 90,16 EC,F7 68,FE B7,FD E1,4E E0
E0 54,19 4,FC DC,FF 26,FE F0,4E C7
E2 20,1A 70,F7 84,FE C3,FD EE,4E 59
E4 34,1C 38,FB 74,FE 74,FD F9,4E 3B
E6 58,1D 4,FB F8,FE D1,FD 3,4E EC
E8 8C,1E CC,F8 C0,FE 66,FD FE,4D BF
E8 0,1F 0,FC EC,FE B7,FD E8,4D B5
EA B4,20 78,FA 98,FF 10,FD 9,4D 65
EC 58,21 7C,F9 9C,FE BB,FE 10,4D 3C
EE 88,22 20,FD 50,FF 49,FD 0,4D 34
F0 DC,23 DC,F8 20,FF 46,FE 26,4C EF
F2 40,24 B4,F7 FC,FE CE,FE 1,4C C4
F3 AC,25 B4,FA 88,FE EF,FE 10,4C AD
F6 FC,26 8C,F6 C8,FE 7D,FE 10,4C 70
F9 1C,27 30,FA A0,FE 52,FD D8,4C 46
FA 7C,27 4C,FB AC,FE 93,FE 10,4C 30
FD 28,27 80,F9 F4,FE 86,FE 6,4C 15
FE 3C,28 70,FD 50,FE 8,FE B,4B E5
0 B4,28 44,FA 84,FF 17,FE 7,4B C7
2 30,28 C0,FA 98,FF 2C,FE 2C,4B B3
5 8,29 20,FA 10,FF 45,FE 1E,4B B6
7 98,29 A4,F8 88,FE F0,FE 15,4B 6B
9 C8,2A D0,F9 EC,FE C4,FE 1B,4B 4A
B 88,29 D0,F8 D4,FE 8D,FE 5,4B 39
C B4,29 5C,F9 84,FE 6E,FE 6,4B 13
E C4,29 40,FA E8,FE 78,FE 8,4B 18
10 38,28 EC,FB A8,FE 90,FD 0,4B 11
12 C0,28 98,FC 48,FE E1,FE B,4A ED
14 20,28 1C,FB 18,FF 0,FE B,4A E4
16 A8,27 CC,FA A8,FF 23,FE 2B,4A D2
18 D4,27 58,FA 58,FF 4D,FE 22,4A C7
1A 14,27 E4,F8 A4,FF 9,FE 40,4A C1
2A 0,1F 58,FA 0,FF 29,FE 2A,4A 6C
2C 9C,1E 3C,F9 5C,FF 21,FE 1D,4A 5E
2E 98,1D 44,F8 C,FE C9,FE 11,4A 41
2F 8,1B E8,F8 1C,FE 81,FE 14,4A 41
30 B0,1A 78,F9 CC,FE 5C,FE 18,4A 46
32 68,19 30,FA 10,FE 70,FE 28,4A 41
33 78,18 C,FB E4,FE 92,FE 22,4A 4D
34 E8,16 50,FA 14,FE E2,FE 28,4A 63
36 6C,15 20,FB D8,FF A,FE 1A,4A 64
37 94,13 58,FA 14,FF 30,FE E,4A 57
39 28,11 CC,F9 20,FF 6,FE 1A,4A 51
3A D8,10 60,F9 20,FE D8,FE 28,4A 42
3B 84,E 10,F8 EC,FE 6B,FE F9,4A 4D
3C F0,C 90,F9 54,FE 64,FE 8,4A 68
3E 8C,B DC,F9 5C,FE 87,FE 3,4A 78
44 DC,FC 7C,F9 90,FE 99,FE 21,4A 83
45 30,FA 54,F8 80,FE 7,F2 1,4B 9F
FA 68,ED 60,87 0,D BE,5 D8,4C CC
43 F0,EF B8,DD 5C,F4 5E,FB FF,4C 78
43 94,F7 24,7F FF,5 EE,FF A8,4F F6
36 B4,E5 C4,D9 C,3 EC,1 76,4E 70
63 E8,F5 C,92 F8,F6 35,FC 2A,4E 11
27 34,E9 E8,2B E8,FE 40,FE 17,51 FB
36 94,DE D8,F8 DC,FA D,FD 3F,52 D7
4E 54,ED 98,0 6C,F9 90,FC D6,53 4E
3D CC,DB A0,11 B0,FF FF,FE 31,57 70
37 C4,DB 6C,DE D0,1 38,FD EE,57 D8
46 38,DE 3C,ED 10,0 4D,FD 8C,58 B9
36 B4,CE 8C,11 C,FF E2,FE 7D,5A E1
38 80,CF CC,EB E4,FE 58,FD 47,5B 40
46 38,D0 F0,F5 68,FB 83,FD 50,5C 39
31 F0,C5 A0,B 48,FC C9,FE 11,5E 7F
45 68,C9 E0,EA 18,FD 84,FC BD,5E 21
3D 18,C4 A8,F1 50,FB BF,FD 51,60 56
32 C0,BE 68,11 A4,0 C6,FE 6E,62 6
41 EC,C1 CC,E5 40,0 D0,FD 97,62 20
39 9C,B9 B8,FB C,FE 83,FD A4,63 C0
36 BC,B7 D4,2 B4,1 46,FE 32,64 88
3D 74,B7 C,E1 D0,FD C4,FC 7D,64 B9
35 9C,B0 48,6 C,FC 7A,FD 6F,66 4E
36 E8,AF B0,3 C4,0 7F,FD 45,66 B8
34 A8,AD C8,DE 48,FC 94,FC 3F,67 38
34 E0,A9 C,14 8,FF A2,FD C0,68 2E
35 74,A7 80,FA 6C,2 BF,FE 3B,68 22
35 20,A5 B8,F6 A8,FE BD,FD 77,68 23
36 54,A2 B8,4 E8,1 72,FE D,67 CF
31 C0,A4 D4,D8 5C,FD AB,FD 3A,67 15
32 94,A1 74,FD 3C,FB E7,FD 17,66 98
2F 3C,9F A0,7 18,FE 82,FD C1,66 D6
2B B0,A0 F0,E9 FC,FC 69,FC EA,66 32
2D 4,9E 24,4 24,FE 95,FD 57,66 76
24 54,9C AC,FA B4,1 2B,FE F0,66 5C
26 14,9C B0,EE AC,FF 3F,FD 60,65 BD
22 D4,9B 7C,1 78,0 4C,FD D2,65 AE
1D B4,9A A0,F0 64,FF 5E,FD E0,65 58
1D 34,9B 44,EF 6C,FD 2D,FD 42,64 7E
1B E0,9A 4C,F9 78,FD 5D,FD 43,64 6C
15 E8,98 A0,FA 5C,FD 2E,FD 53,64 14
16 5C,9A BC,3 94,FE BC,FD 80,61 83
FD B4,9E 80,EE 90,FE 26,FD 41,61 5
F9 34,9E 60,FE 90,FE F2,FD 78,60 3
F7 4,9F 14,0 C4,1 5,FD E9,60 D0
F6 7C,A1 58,EC 98,FF 2A,FD 96,60 1D
F4 94,A2 30,FB 34,FE D,FD D8,5F C9
F0 24,A2 7C,F5 F8,FF FF,FD D3,5F 5D
EE 6C,A5 CC,EE B4,FD FB,FD 54,5E D2
EC 34,A6 88,FD 7C,FD B1,FD 74,5E 99
E8 24,A7 28,F8 C0,FE 36,FD 96,5E 3D
E8 B4,AA D4,F7 D4,FE 86,FD 79,5D FA
E5 E8,AB AC,FC F8,FF C9,FD AD,5D D3
E2 28,AC 2C,F8 D4,FF EA,FD AE,5D 91
E1 F0,AF B8,F6 38,FF 97,FD D5,5D D
E1 18,B1 78,F6 D8,FE CA,FD F1,5A 70
D3 C4,C3 C,F2 50,FF 47,FD A8,59 D2
D3 20,C5 50,F7 3C,FE 1F,FD B0,59 60
D0 F0,C7 88,FB 94,FE 8B,FD A9,59 19
D2 8,CA D0,F3 30,FD 5D,FD 8A,58 59
D0 C4,CD 70,FE 34,FD F9,FD BC,58 4D
CE 64,CF D0,FB 8C,FF 43,FD C2,58 16
CE 60,D2 DC,F5 B4,FE DA,FD B9,57 C1
CC D0,D4 0,FD 4C,FF ED,FE 6,57 95
CC FC,D7 90,F6 78,FF CB,FD DB,57 36
CC C4,DA 44,F4 98,FE B1,FD C6,56 A8
CD F0,DC 7C,FA A0,FE A5,FD BF,56 3B
CB 20,DE DC,F5 0,FD D7,FD 94,55 F6
CC D8,E2 4,F9 D8,FD CA,FD 91,55 92
CB 30,E3 D4,FC E8,FE 76,FD BE,55 5D
CB 10,E7 1C,FB 50,FE 2,FD DC,55 F7
CC 14,EA 14,FB 9C,FF DD,FD F2,54 BE
CC EC,EC DC,F8 E4,FF 96,FE 11,54 6A
CB 0,EF 2C,F9 28,FF 82,FD F4,54 D
CC CC,F1 FC,F6 8,FE BB,FD CF,53 A4
CC B0,F3 F8,F7 0,FE 10,FD BF,53 51
CD 34,F6 9C,F9 70,FE 25,FD C7,52 F2
CE EC,F8 C8,F7 E8,FD ED,FD C1,52 A6
CE AC,FA A4,FC C4,FE 7E,FD CC,52 81
CE 2C,FC D8,FB F4,FF 29,FD DF,52 4A
D0 88,FE AC,FA 58,FF 40,FD F3,51 ED
D0 74,1 5C,FC E4,FF B2,FE 1A,51 D8
D2 4,3 70,F6 48,FF 4B,FE 19,51 78
D4 48,5 EC,F8 28,FE BE,FD E9,50 1
D4 6C,8 68,FA 9C,FE BC,FD DF,50 86
D6 70,A 78,F6 4,FE 9,FD BF,50 4B
D6 24,C D4,FC 18,FE 87,FD EC,50 2B
D7 A8,E C4,F8 B0,FE A4,FD D3,50 19
D9 8,F 20,FB EC,FE B8,FD DF,4F DA
DA BC,11 F4,FD BC,FF 6D,FD E3,4F B7
D6 90,12 D0,F7 74,FE 73,FE 0,50 39
D6 48,13 F8,FB 80,FE A5,FC 5D,50 43
DD D4,15 98,F9 44,FF A9,FE 2A,51 24
DD A0,19 38,EE 90,FE 1E,FD FE,50 C5
D9 64,13 80,1 40,FD 45,FD CB,52 8E
D7 3C,1A D8,FE E8,0 9A,FE 2D,53 11
E0 38,16 A4,E3 6C,FC AF,FD AC,53 92
DA 5C,19 F4,11 C4,FE FE,FD B2,55 B8
D4 60,17 F8,F1 28,0 DD,FE 28,56 6F
EB E0,1C BC,FB D0,FC A2,FD A3,5E C3
F6 E4,19 20,6 7C,FF 57,FD 83,60 E
F7 8C,19 74,EE 10,FD 60,FD 44,60 90
2 64,1A B8,6 C0,FE E3,FD B6,61 B6
FE 24,17 B4,FD 58,0 7E,FD A3,62 C8
6 14,19 48,F4 18,FF 1D,FD 7C,63 61
8 68,18 A0,FF 60,0 A,FD E2,64 A3
9 24,15 3C,F6 E4,FF 6B,FD A7,65 66
D 60,16 A4,F4 80,FE 53,FD A4,66 37
14 48,16 4,F9 90,FE 65,FD B5,66 7A
17 50,14 1C,F6 E4,FD D6,FD 68,66 A0
21 48,14 D8,FB 58,FE A9,FD AC,66 FD
22 50,16 D0,F2 8C,FE 90,FD CD,66 23
1F FC,11 7C,FD 78,FF 11,FC F4,65 F6
29 34,13 D0,FE 78,0 13,FE F7,63 1
32 E8,6 34,4 BC,0 47,FE 28,64 51
3A 50,6 74,ED E0,FE 5D,FD 98,63 75
3C 90,4 38,1 54,FD CF,FD 42,63 7E
3A A0,0 80,4 7C,FF 3,FD E2,63 8A
40 AC,1 50,EB 98,FE 2,FD 59,63 2B
40 50,FD 8C,FC 18,FE BE,FD 7C,63 9
40 F4,FA E0,FD 4,FF 8A,FD CA,63 1C
42 1C,F9 94,F8 14,FE AE,FD B7,62 99
48 74,F6 B0,F9 50,FE E0,FD AB,62 A4
40 38,F3 88,F4 EC,FE 9B,FD 93,62 D0
48 58,F2 68,FB 14,FE DB,FD BE,62 25
48 68,F0 34,F3 14,FE E5,FD 9C,62 21
45 18,ED 60,FF D4,FE 62,FD 88,62 E
4A DC,EA D0,FE B4,FF 6D,FD FB,61 CB
49 38,E9 D0,F7 C8,FD D1,FD 51,61 BA
49 AC,E5 B4,5 F4,0 61,FD 1,61 DB
4C 60,E2 44,EC D8,FF E6,FD 8A,61 E
4A 50,DF D8,FA DC,FD CE,FD 6E,61 48
49 AC,DD 84,2 64,0 18,FE FC,61 4E
4D 58,DB A4,E9 7C,FD A5,FD 68,60 B7
4A 7C,D8 98,0 C0,FD FE,FD 9F,60 FA
49 78,D5 8C,FE 70,FF D1,FD E2,60 C4
4C 64,D4 20,EC 8,FD 8B,FD 87,60 50
49 44,D1 BC,5 88,FE F,FD A5,60 BE
46 80,CE B8,F8 88,FF CF,FE FE,60 7A
4B C8,CC 90,EF 78,FD CB,FD 45,60 3
46 40,C9 58,3 2C,FF 4A,FD BC,60 56
46 C0,C6 74,F3 EC,FF F2,FD C8,5F DD
49 E4,C5 9C,F1 24,FD AF,FD 5F,5F A6
